pcs;prime forme;closed p;closable p;average size
4.1;0 1 2 3;[321000];0.002;0.536;3.024
4.2;0 1 2 4;[221100];0.334;0.79;15.548
4.3;0 1 3 4;[212100];1.0;1.0;9.0
4.4;0 1 2 5;[211110];0.762;1.0;13.616
4.5;0 1 2 6;[210111];0.484;1.0;14.916
4.6;0 1 2 7;[210021];1.0;1.0;7.0
4.7;0 1 4 5;[201210];1.0;1.0;7.0
4.8;0 1 5 6;[200121];1.0;1.0;13.0
4.9;0 1 6 7;[200022];0.998;1.0;3.006
4.10;0 2 3 5;[122010];1.0;1.0;9.0
4.11;0 1 3 5;[121110];0.242;0.588;15.972
4.12;0 2 3 6;[112101];0.278;0.614;15.252
4.13;0 1 3 6;[112011];0.768;0.87;12.26
4.14;0 2 3 7;[111120];1.0;1.0;7.0
4.15;0 1 4 6;[111111];1.0;1.0;9.0
4.16;0 1 5 7;[110121];0.0;1.0;17.0
4.17;0 3 4 7;[102210];1.0;1.0;7.0
4.18;0 1 4 7;[102111];0.37;0.684;15.164
4.19;0 1 4 8;[101310];0.17;0.426;16.32
4.20;0 1 5 8;[101220];0.998;0.998;3.006
4.21;0 2 4 6;[030201];0.958;0.99;10.186
4.22;0 2 4 7;[021120];0.334;0.766;15.428
4.23;0 2 5 7;[021030];1.0;1.0;13.0
4.24;0 2 4 8;[020301];0.572;0.848;14.228
4.25;0 2 6 8;[020202];0.998;1.0;3.006
4.26;0 3 5 8;[012120];1.0;1.0;13.0
4.27;0 2 5 8;[012111];0.294;0.652;15.232
4.28;0 3 6 9;[004002];0.998;1.0;3.006
4.29;0 1 3 7;[111111];1.0;1.0;9.0
5.1;0 1 2 3 4;[432100];0.0;0.418;3.026
5.2;0 1 2 3 5;[332110];0.0;0.102;3.038
5.3;0 1 2 4 5;[322210];0.004;0.118;3.186
5.4;0 1 2 3 6;[322111];0.51;0.684;3.01
5.5;0 1 2 3 7;[321121];0.496;0.994;3.136
5.6;0 1 2 5 6;[311221];0.156;0.468;16.48
5.7;0 1 2 6 7;[310132];0.0;0.098;3.1
5.8;0 2 3 4 6;[232201];0.464;0.722;3.014
5.9;0 1 2 4 6;[231211];0.0;0.274;3.014
5.10;0 1 3 4 6;[223111];0.0;0.166;3.04
5.11;0 2 3 4 7;[222220];0.002;0.202;3.07
5.12;0 1 3 5 6;[222121];0.496;1.0;3.012
5.13;0 1 2 4 8;[221311];0.0;0.108;3.054
5.14;0 1 2 5 7;[221131];0.0;0.194;3.026
5.15;0 1 2 6 8;[220222];0.006;0.006;3.038
5.16;0 1 3 4 7;[213211];0.004;0.108;3.156
5.17;0 1 3 4 8;[212320];0.486;0.728;3.01
5.18;0 1 4 5 7;[212221];0.46;1.0;3.036
5.19;0 1 3 6 7;[212122];0.522;0.702;3.008
5.20;0 1 3 7 8;[211231];0.0;0.198;3.05
5.21;0 1 4 5 8;[202420];0.126;0.38;16.284
5.22;0 1 4 7 8;[202321];0.43;1.0;3.008
5.23;0 2 3 5 7;[132130];0.0;0.598;3.056
5.24;0 1 3 5 7;[131221];0.0;0.264;3.046
5.25;0 2 3 5 8;[123121];0.0;0.088;3.068
5.26;0 2 4 5 8;[122311];0.512;0.658;3.092
5.27;0 1 3 5 8;[122230];0.0;0.186;3.112
5.28;0 2 3 6 8;[122212];0.486;0.658;3.008
5.29;0 1 3 6 8;[122131];0.002;0.17;3.014
5.30;0 1 4 6 8;[121321];0.002;0.684;3.098
5.31;0 1 3 6 9;[114112];0.004;0.172;3.03
5.32;0 1 4 6 9;[113221];0.132;0.378;16.432
5.33;0 2 4 6 8;[040402];0.344;0.582;15.028
5.34;0 2 4 6 9;[032221];0.52;1.0;3.036
5.35;0 2 4 7 9;[032140];0.0;0.004;3.092
5.36;0 1 2 4 7;[222121];0.506;0.682;3.036
5.37;0 3 4 5 8;[212320];0.456;0.998;3.014
5.38;0 1 2 5 8;[212221];0.498;0.676;13.924
6.1;0 1 2 3 4 5;[543210];0.002;0.328;3.018
6.2;0 1 2 3 4 6;[443211];0.0;0.002;3.066
6.3;0 1 2 3 5 6;[433221];0.12;0.21;16.276
6.4;0 1 2 4 5 6;[432321];1.0;1.0;7.0
6.5;0 1 2 3 6 7;[422232];0.002;0.002;3.128
6.6;0 1 2 5 6 7;[421242];1.0;1.0;13.0
6.7;0 1 2 6 7 8;[420243];0.998;1.0;3.006
6.8;0 2 3 4 5 7;[343230];0.004;0.004;3.016
6.9;0 1 2 3 5 7;[342231];0.586;0.69;13.572
6.10;0 1 3 4 5 7;[333321];0.936;0.98;10.29
6.11;0 1 2 4 5 7;[333231];0.002;0.004;3.162
6.12;0 1 2 4 6 7;[332232];0.326;0.398;15.056
6.13;0 1 3 4 6 7;[324222];1.0;1.0;7.0
6.14;0 1 3 4 5 8;[323430];0.408;0.472;14.892
6.15;0 1 2 4 5 8;[323421];0.002;0.002;3.118
6.16;0 1 4 5 6 8;[322431];1.0;1.0;3.02
6.17;0 1 2 4 7 8;[322332];0.402;0.458;14.424
6.18;0 1 2 5 7 8;[322242];1.0;1.0;3.008
6.19;0 1 3 4 7 8;[313431];0.266;0.386;15.48
6.20;0 1 4 5 8 9;[303630];0.998;1.0;3.006
6.21;0 2 3 4 6 8;[242412];0.0;0.188;3.018
6.22;0 1 2 4 6 8;[241422];0.222;0.394;16.0
6.23;0 2 3 5 6 8;[234222];1.0;1.0;7.0
6.24;0 1 3 4 6 8;[233331];0.008;0.992;3.158
6.25;0 1 3 5 6 8;[233241];0.066;0.222;16.776
6.26;0 1 3 5 7 8;[232341];0.998;1.0;3.006
6.27;0 1 3 4 6 9;[225222];0.26;0.368;15.928
6.28;0 1 3 5 6 9;[224322];0.998;0.998;3.006
6.29;0 1 3 6 8 9;[224232];0.998;1.0;3.006
6.30;0 1 3 6 7 9;[224223];1.0;1.0;7.0
6.31;0 1 3 5 8 9;[223431];0.0;0.002;3.09
6.32;0 2 4 5 7 9;[143250];1.0;1.0;13.0
6.33;0 2 3 5 7 9;[143241];0.002;0.332;3.146
6.34;0 1 3 5 7 9;[142422];0.002;0.186;3.034
6.35;0 2 4 6 8 10;[060603];0.998;1.0;3.006
6.36;0 1 2 3 4 7;[433221];0.0;0.0;3.03
6.37;0 1 2 3 4 8;[432321];0.998;1.0;3.02
6.38;0 1 2 3 7 8;[421242];1.0;1.0;13.0
6.39;0 2 3 4 5 8;[333321];0.004;0.006;3.166
6.40;0 1 2 3 5 8;[333231];0.002;0.006;3.174
6.41;0 1 2 3 6 8;[332232];0.382;0.466;14.664
6.42;0 1 2 3 6 9;[324222];0.002;0.312;3.014
6.43;0 1 2 5 6 8;[322332];1.0;1.0;3.008
6.44;0 1 2 5 6 9;[313431];0.292;0.396;15.32
6.45;0 2 3 4 6 9;[234222];0.998;0.998;3.006
6.46;0 1 2 4 6 9;[233331];0.736;0.77;12.42
6.47;0 1 2 4 7 9;[233241];0.002;0.002;3.052
6.48;0 1 2 5 7 9;[232341];0.998;0.998;3.006
6.49;0 1 3 4 7 9;[224322];0.998;0.998;3.006
6.50;0 1 4 6 7 9;[224232];0.998;0.998;3.006
7.1;0 1 2 3 4 5 6;[654321];0.002;0.304;3.014
7.2;0 1 2 3 4 5 7;[554331];0.0;0.002;3.124
7.3;0 1 2 3 4 5 8;[544431];0.0;0.002;3.098
7.4;0 1 2 3 4 6 7;[544332];0.006;0.184;3.254
7.5;0 1 2 3 5 6 7;[543342];0.0;0.098;3.104
7.6;0 1 2 3 4 7 8;[533442];0.0;0.472;3.304
7.7;0 1 2 3 6 7 8;[532353];0.002;0.102;3.512
7.8;0 2 3 4 5 6 8;[454422];0.002;0.002;3.022
7.9;0 1 2 3 4 6 8;[453432];0.006;0.132;3.224
7.10;0 1 2 3 4 6 9;[445332];0.0;0.0;3.072
7.11;0 1 3 4 5 6 8;[444441];0.0;0.002;3.074
7.12;0 1 2 3 4 7 9;[444342];0.502;0.502;3.022
7.13;0 1 2 4 5 6 8;[443532];0.338;0.406;14.64
7.14;0 1 2 3 5 7 8;[443352];0.0;0.0;3.156
7.15;0 1 2 4 6 7 8;[442443];0.516;0.998;3.014
7.16;0 1 2 3 5 6 9;[435432];0.002;0.002;3.446
7.17;0 1 2 4 5 6 9;[434541];0.006;0.006;3.042
7.18;0 1 2 3 5 8 9;[434442];0.006;0.014;3.222
7.19;0 1 2 3 6 7 9;[434343];0.438;0.472;13.928
7.20;0 1 2 4 7 8 9;[433452];0.004;0.174;3.018
