pcs;prime forme;closed p;closable p;average size
7.21;0 1 2 4 5 8 9;[424641];0.0;0.104;3.086
7.22;0 1 2 5 6 8 9;[424542];0.998;0.998;3.006
7.23;0 2 3 4 5 7 9;[354351];0.0;0.102;3.09
7.24;0 1 2 3 5 7 9;[353442];0.002;0.27;3.118
7.25;0 2 3 4 6 7 9;[345342];0.002;0.488;3.322
7.26;0 1 3 4 5 7 9;[344532];0.256;0.392;15.712
7.27;0 1 2 4 5 7 9;[344451];0.0;0.186;3.062
7.28;0 1 3 5 6 7 9;[344433];0.918;0.918;10.092
7.29;0 1 2 4 6 7 9;[344352];0.002;0.512;3.126
7.30;0 1 2 4 6 8 9;[343542];0.006;0.008;3.19
7.31;0 1 3 4 6 7 9;[336333];0.062;0.128;16.652
7.32;0 1 3 4 6 8 9;[335442];0.002;0.012;4.154
7.33;0 1 2 4 6 8 10;[262623];0.002;0.104;3.014
7.34;0 1 3 4 6 8 10;[254442];0.0;0.502;3.034
7.35;0 1 3 5 6 8 10;[254361];0.0;0.238;3.086
7.36;0 1 2 3 5 6 8;[444342];0.25;0.332;15.848
7.37;0 1 3 4 5 7 8;[434541];1.0;1.0;7.0
7.38;0 1 2 4 5 7 8;[434442];0.002;0.158;3.106
8.1;0 1 2 3 4 5 6 7;[765442];0.574;0.812;13.784
8.2;0 1 2 3 4 5 6 8;[665542];0.006;0.01;3.822
8.3;0 1 2 3 4 5 6 9;[656542];0.004;0.006;3.052
8.4;0 1 2 3 4 5 7 8;[655552];0.082;0.23;16.504
8.5;0 1 2 3 4 6 7 8;[654553];0.002;0.004;4.468
8.6;0 1 2 3 5 6 7 8;[654463];1.0;1.0;13.0
8.7;0 1 2 3 4 5 8 9;[645652];0.0;0.506;3.022
8.8;0 1 2 3 4 7 8 9;[644563];0.0;1.0;17.0
8.9;0 1 2 3 6 7 8 9;[644464];0.998;1.0;3.006
8.10;0 2 3 4 5 6 7 9;[566452];0.976;0.976;9.28
8.11;0 1 2 3 4 5 7 9;[565552];0.036;0.124;16.784
8.12;0 1 3 4 5 6 7 9;[556543];0.0;0.0;3.16
8.13;0 1 2 3 4 6 7 9;[556453];0.114;0.196;16.362
8.14;0 1 2 4 5 6 7 9;[555562];0.0;0.476;3.064
8.15;0 1 2 3 4 6 8 9;[555553];0.154;0.204;16.128
8.16;0 1 2 3 5 7 8 9;[554563];0.006;0.008;4.2
8.17;0 1 3 4 5 6 8 9;[546652];1.0;1.0;13.0
8.18;0 1 2 3 5 6 8 9;[546553];0.048;0.1;16.624
8.19;0 1 2 4 5 6 8 9;[545752];0.068;0.15;16.56
8.20;0 1 2 4 5 7 8 9;[545662];0.998;1.0;3.006
8.21;0 1 2 3 4 6 8 10;[474643];0.164;0.404;16.232
8.22;0 1 2 3 5 6 8 10;[465562];0.0;0.0;3.854
8.23;0 1 2 3 5 7 8 10;[465472];0.0;0.0;3.082
8.24;0 1 2 4 5 6 8 10;[464743];1.0;1.0;7.0
8.25;0 1 2 4 6 7 8 10;[464644];0.998;1.0;3.006
8.26;0 1 2 4 5 7 9 10;[456562];0.0;0.0;3.106
8.27;0 1 2 4 5 7 8 10;[456553];0.004;0.3;3.426
8.28;0 1 3 4 6 7 9 10;[448444];0.998;1.0;3.006
8.29;0 1 2 3 5 6 7 9;[555553];0.074;0.09;16.688
9.1;0 1 2 3 4 5 6 7 8;[876663];0.004;0.246;3.272
9.2;0 1 2 3 4 5 6 7 9;[777663];0.006;0.006;4.0
9.3;0 1 2 3 4 5 6 8 9;[767763];0.006;0.076;4.024
9.4;0 1 2 3 4 5 7 8 9;[766773];0.052;0.076;16.688
9.5;0 1 2 3 4 6 7 8 9;[766674];0.04;0.058;16.716
9.6;0 1 2 3 4 5 6 8 10;[686763];0.336;0.388;15.48
9.7;0 1 2 3 4 5 7 8 10;[677673];0.006;0.062;6.694
9.8;0 1 2 3 4 6 7 8 10;[676764];0.182;0.212;15.948
9.9;0 1 2 3 5 6 7 8 10;[676683];0.0;0.01;3.174
9.10;0 1 2 3 4 6 7 9 10;[668664];0.0;0.0;3.014
9.11;0 1 2 3 5 6 7 9 10;[667773];0.002;0.082;3.742
9.12;0 1 2 4 5 6 8 9 10;[666963];0.998;0.998;3.006
