pcs;prime forme;closed p;closable p;average size
6.39;0 2 3 4 5 8;[333321];0.006;0.01;3.238
6.40;0 1 2 3 5 8;[333231];0.006;0.006;3.306
6.41;0 1 2 3 6 8;[332232];0.388;0.466;14.448
6.42;0 1 2 3 6 9;[324222];0.0;0.36;3.022
6.43;0 1 2 5 6 8;[322332];1.0;1.0;3.008
6.44;0 1 2 5 6 9;[313431];0.242;0.338;15.588
6.45;0 2 3 4 6 9;[234222];1.0;1.0;3.004
6.46;0 1 2 4 6 9;[233331];0.762;0.806;12.328
6.47;0 1 2 4 7 9;[233241];0.0;0.0;3.03
6.48;0 1 2 5 7 9;[232341];1.0;1.0;3.004
6.49;0 1 3 4 7 9;[224322];1.0;1.0;3.004
6.50;0 1 4 6 7 9;[224232];1.0;1.0;3.004
7.1;0 1 2 3 4 5 6;[654321];0.0;0.278;3.01
7.2;0 1 2 3 4 5 7;[554331];0.0;0.0;3.034
7.3;0 1 2 3 4 5 8;[544431];0.002;0.004;3.114
7.4;0 1 2 3 4 6 7;[544332];0.002;0.184;3.358
7.5;0 1 2 3 5 6 7;[543342];0.0;0.09;3.11
7.6;0 1 2 3 4 7 8;[533442];0.0;0.488;3.11
7.7;0 1 2 3 6 7 8;[532353];0.0;0.122;3.246
7.8;0 2 3 4 5 6 8;[454422];0.002;0.004;3.016
7.9;0 1 2 3 4 6 8;[453432];0.002;0.104;3.092
7.10;0 1 2 3 4 6 9;[445332];0.002;0.002;3.214
7.11;0 1 3 4 5 6 8;[444441];0.0;0.0;3.058
7.12;0 1 2 3 4 7 9;[444342];0.528;0.528;3.014
7.13;0 1 2 4 5 6 8;[443532];0.32;0.372;14.96
7.14;0 1 2 3 5 7 8;[443352];0.0;0.0;3.144
7.15;0 1 2 4 6 7 8;[442443];0.468;0.998;3.01
7.16;0 1 2 3 5 6 9;[435432];0.0;0.002;3.29
7.17;0 1 2 4 5 6 9;[434541];0.0;0.0;3.022
7.18;0 1 2 3 5 8 9;[434442];0.002;0.004;3.118
7.19;0 1 2 3 6 7 9;[434343];0.422;0.452;14.144
7.20;0 1 2 4 7 8 9;[433452];0.002;0.188;3.026
7.21;0 1 2 4 5 8 9;[424641];0.0;0.088;3.218
7.22;0 1 2 5 6 8 9;[424542];1.0;1.0;3.004
7.23;0 2 3 4 5 7 9;[354351];0.0;0.098;3.188
7.24;0 1 2 3 5 7 9;[353442];0.004;0.316;3.186
7.25;0 2 3 4 6 7 9;[345342];0.0;0.52;3.05
7.26;0 1 3 4 5 7 9;[344532];0.23;0.384;15.792
7.27;0 1 2 4 5 7 9;[344451];0.0;0.196;3.022
7.28;0 1 3 5 6 7 9;[344433];0.914;0.914;10.084
7.29;0 1 2 4 6 7 9;[344352];0.0;0.516;3.09
7.30;0 1 2 4 6 8 9;[343542];0.0;0.002;3.038
7.31;0 1 3 4 6 7 9;[336333];0.058;0.154;16.652
7.32;0 1 3 4 6 8 9;[335442];0.0;0.002;3.218
7.33;0 1 2 4 6 8 10;[262623];0.0;0.116;3.01
7.34;0 1 3 4 6 8 10;[254442];0.0;0.494;3.042
7.35;0 1 3 5 6 8 10;[254361];0.0;0.266;3.098
7.36;0 1 2 3 5 6 8;[444342];0.236;0.316;15.832
7.37;0 1 3 4 5 7 8;[434541];1.0;1.0;7.0
7.38;0 1 2 4 5 7 8;[434442];0.0;0.172;3.098
8.1;0 1 2 3 4 5 6 7;[765442];0.548;0.83;14.014
8.2;0 1 2 3 4 5 6 8;[665542];0.002;0.006;3.822
8.3;0 1 2 3 4 5 6 9;[656542];0.004;0.004;3.02
8.4;0 1 2 3 4 5 7 8;[655552];0.098;0.236;16.576
8.5;0 1 2 3 4 6 7 8;[654553];0.002;0.004;3.528
8.6;0 1 2 3 5 6 7 8;[654463];1.0;1.0;13.0
8.7;0 1 2 3 4 5 8 9;[645652];0.0;0.468;3.062
8.8;0 1 2 3 4 7 8 9;[644563];0.0;1.0;17.0
8.9;0 1 2 3 6 7 8 9;[644464];1.0;1.0;3.004
8.10;0 2 3 4 5 6 7 9;[566452];0.96;0.96;9.536
8.11;0 1 2 3 4 5 7 9;[565552];0.03;0.104;16.864
8.12;0 1 3 4 5 6 7 9;[556543];0.0;0.0;3.124
8.13;0 1 2 3 4 6 7 9;[556453];0.146;0.238;16.312
8.14;0 1 2 4 5 6 7 9;[555562];0.0;0.5;3.104
8.15;0 1 2 3 4 6 8 9;[555553];0.128;0.178;16.296
8.16;0 1 2 3 5 7 8 9;[554563];0.0;0.004;3.7
8.17;0 1 3 4 5 6 8 9;[546652];1.0;1.0;13.0
8.18;0 1 2 3 5 6 8 9;[546553];0.06;0.104;16.56
8.19;0 1 2 4 5 6 8 9;[545752];0.074;0.146;16.444
8.20;0 1 2 4 5 7 8 9;[545662];1.0;1.0;3.004
8.21;0 1 2 3 4 6 8 10;[474643];0.144;0.44;16.432
8.22;0 1 2 3 5 6 8 10;[465562];0.002;0.002;4.278
8.23;0 1 2 3 5 7 8 10;[465472];0.0;0.0;3.064
8.24;0 1 2 4 5 6 8 10;[464743];1.0;1.0;7.0
8.25;0 1 2 4 6 7 8 10;[464644];1.0;1.0;3.004
8.26;0 1 2 4 5 7 9 10;[456562];0.0;0.0;3.084
8.27;0 1 2 4 5 7 8 10;[456553];0.0;0.318;3.118
8.28;0 1 3 4 6 7 9 10;[448444];1.0;1.0;3.004
8.29;0 1 2 3 5 6 7 9;[555553];0.064;0.102;16.6
9.1;0 1 2 3 4 5 6 7 8;[876663];0.0;0.22;3.106
9.2;0 1 2 3 4 5 6 7 9;[777663];0.004;0.008;4.374
9.3;0 1 2 3 4 5 6 8 9;[767763];0.002;0.062;4.33
9.4;0 1 2 3 4 5 7 8 9;[766773];0.042;0.088;16.768
9.5;0 1 2 3 4 6 7 8 9;[766674];0.048;0.056;16.624
9.6;0 1 2 3 4 5 6 8 10;[686763];0.292;0.336;15.704
9.7;0 1 2 3 4 5 7 8 10;[677673];0.0;0.064;4.256
9.8;0 1 2 3 4 6 7 8 10;[676764];0.186;0.2;16.032
9.9;0 1 2 3 5 6 7 8 10;[676683];0.002;0.002;3.064
9.10;0 1 2 3 4 6 7 9 10;[668664];0.0;0.0;3.01
9.11;0 1 2 3 5 6 7 9 10;[667773];0.004;0.102;3.808
9.12;0 1 2 4 5 6 8 9 10;[666963];1.0;1.0;3.004
