pcs;prime forme;closed p;closable p;average size
4.1;0 1 2 3;[321000];0.002;0.498;3.018
4.2;0 1 2 4;[221100];0.324;0.754;15.496
4.3;0 1 3 4;[212100];1.0;1.0;9.0
4.4;0 1 2 5;[211110];0.72;1.0;13.88
4.5;0 1 2 6;[210111];0.434;1.0;14.992
4.6;0 1 2 7;[210021];1.0;1.0;7.0
4.7;0 1 4 5;[201210];1.0;1.0;7.0
4.8;0 1 5 6;[200121];1.0;1.0;13.0
4.9;0 1 6 7;[200022];1.0;1.0;3.004
4.10;0 2 3 5;[122010];1.0;1.0;9.0
4.11;0 1 3 5;[121110];0.25;0.604;15.9
4.12;0 2 3 6;[112101];0.316;0.66;15.056
4.13;0 1 3 6;[112011];0.762;0.86;12.284
4.14;0 2 3 7;[111120];1.0;1.0;7.0
4.15;0 1 4 6;[111111];1.0;1.0;9.0
4.16;0 1 5 7;[110121];0.0;1.0;17.0
4.17;0 3 4 7;[102210];1.0;1.0;7.0
4.18;0 1 4 7;[102111];0.416;0.666;14.908
4.19;0 1 4 8;[101310];0.146;0.452;16.392
4.20;0 1 5 8;[101220];1.0;1.0;3.004
4.21;0 2 4 6;[030201];0.942;0.98;10.24
4.22;0 2 4 7;[021120];0.292;0.776;15.636
4.23;0 2 5 7;[021030];1.0;1.0;13.0
4.24;0 2 4 8;[020301];0.604;0.842;13.876
4.25;0 2 6 8;[020202];1.0;1.0;3.004
4.26;0 3 5 8;[012120];1.0;1.0;13.0
4.27;0 2 5 8;[012111];0.302;0.634;15.152
4.28;0 3 6 9;[004002];1.0;1.0;3.004
4.29;0 1 3 7;[111111];1.0;1.0;9.0
5.1;0 1 2 3 4;[432100];0.0;0.39;3.012
5.2;0 1 2 3 5;[332110];0.0;0.092;3.034
5.3;0 1 2 4 5;[322210];0.002;0.112;3.252
5.4;0 1 2 3 6;[322111];0.51;0.68;3.026
5.5;0 1 2 3 7;[321121];0.498;0.996;3.212
5.6;0 1 2 5 6;[311221];0.192;0.52;16.368
5.7;0 1 2 6 7;[310132];0.002;0.102;3.27
5.8;0 2 3 4 6;[232201];0.542;0.788;3.008
5.9;0 1 2 4 6;[231211];0.0;0.248;3.018
5.10;0 1 3 4 6;[223111];0.0;0.156;3.026
5.11;0 2 3 4 7;[222220];0.0;0.186;3.01
5.12;0 1 3 5 6;[222121];0.508;0.998;3.01
5.13;0 1 2 4 8;[221311];0.0;0.088;3.014
5.14;0 1 2 5 7;[221131];0.004;0.182;3.138
5.15;0 1 2 6 8;[220222];0.008;0.008;3.058
5.16;0 1 3 4 7;[213211];0.0;0.112;3.064
5.17;0 1 3 4 8;[212320];0.464;0.748;3.01
5.18;0 1 4 5 7;[212221];0.464;1.0;3.008
5.19;0 1 3 6 7;[212122];0.542;0.71;3.01
5.20;0 1 3 7 8;[211231];0.0;0.186;3.028
5.21;0 1 4 5 8;[202420];0.102;0.318;16.348
5.22;0 1 4 7 8;[202321];0.514;1.0;3.008
5.23;0 2 3 5 7;[132130];0.0;0.626;3.164
5.24;0 1 3 5 7;[131221];0.0;0.284;3.014
5.25;0 2 3 5 8;[123121];0.0;0.098;3.048
5.26;0 2 4 5 8;[122311];0.504;0.686;3.008
5.27;0 1 3 5 8;[122230];0.0;0.126;3.17
5.28;0 2 3 6 8;[122212];0.49;0.658;3.008
5.29;0 1 3 6 8;[122131];0.0;0.166;3.01
5.30;0 1 4 6 8;[121321];0.0;0.656;3.01
5.31;0 1 3 6 9;[114112];0.002;0.132;3.038
5.32;0 1 4 6 9;[113221];0.142;0.406;16.244
5.33;0 2 4 6 8;[040402];0.366;0.576;15.02
5.34;0 2 4 6 9;[032221];0.508;1.0;3.008
5.35;0 2 4 7 9;[032140];0.0;0.002;3.066
5.36;0 1 2 4 7;[222121];0.504;0.648;3.036
5.37;0 3 4 5 8;[212320];0.506;1.0;3.008
5.38;0 1 2 5 8;[212221];0.52;0.69;13.732
6.1;0 1 2 3 4 5;[543210];0.002;0.324;3.01
6.2;0 1 2 3 4 6;[443211];0.002;0.004;3.118
6.3;0 1 2 3 5 6;[433221];0.114;0.206;16.244
6.4;0 1 2 4 5 6;[432321];1.0;1.0;7.0
6.5;0 1 2 3 6 7;[422232];0.002;0.002;3.098
6.6;0 1 2 5 6 7;[421242];1.0;1.0;13.0
6.7;0 1 2 6 7 8;[420243];1.0;1.0;3.004
6.8;0 2 3 4 5 7;[343230];0.002;0.004;3.01
6.9;0 1 2 3 5 7;[342231];0.588;0.69;13.576
6.10;0 1 3 4 5 7;[333321];0.942;0.97;10.198
6.11;0 1 2 4 5 7;[333231];0.0;0.0;3.05
6.12;0 1 2 4 6 7;[332232];0.312;0.366;15.176
6.13;0 1 3 4 6 7;[324222];1.0;1.0;7.0
6.14;0 1 3 4 5 8;[323430];0.398;0.468;14.812
6.15;0 1 2 4 5 8;[323421];0.0;0.0;3.042
6.16;0 1 4 5 6 8;[322431];1.0;1.0;3.012
6.17;0 1 2 4 7 8;[322332];0.422;0.464;14.272
6.18;0 1 2 5 7 8;[322242];1.0;1.0;3.008
6.19;0 1 3 4 7 8;[313431];0.284;0.376;15.332
6.20;0 1 4 5 8 9;[303630];1.0;1.0;3.004
6.21;0 2 3 4 6 8;[242412];0.0;0.186;3.01
6.22;0 1 2 4 6 8;[241422];0.208;0.382;15.908
6.23;0 2 3 5 6 8;[234222];1.0;1.0;7.0
6.24;0 1 3 4 6 8;[233331];0.002;0.996;3.074
6.25;0 1 3 5 6 8;[233241];0.054;0.188;16.864
6.26;0 1 3 5 7 8;[232341];1.0;1.0;3.004
6.27;0 1 3 4 6 9;[225222];0.208;0.314;16.1
6.28;0 1 3 5 6 9;[224322];1.0;1.0;3.004
6.29;0 1 3 6 8 9;[224232];1.0;1.0;3.004
6.30;0 1 3 6 7 9;[224223];1.0;1.0;7.0
6.31;0 1 3 5 8 9;[223431];0.0;0.002;3.062
6.32;0 2 4 5 7 9;[143250];1.0;1.0;13.0
6.33;0 2 3 5 7 9;[143241];0.0;0.306;3.056
6.34;0 1 3 5 7 9;[142422];0.0;0.244;3.022
6.35;0 2 4 6 8 10;[060603];1.0;1.0;3.004
6.36;0 1 2 3 4 7;[433221];0.0;0.0;3.022
6.37;0 1 2 3 4 8;[432321];0.998;1.0;3.012
6.38;0 1 2 3 7 8;[421242];1.0;1.0;13.0
