pcs;prime forme;closed p;closable p;average size
6.28;0 1 3 5 6 9;[224322];0.998;0.998;3.002
6.29;0 1 3 6 8 9;[224232];0.998;1.0;3.002
6.30;0 1 3 6 7 9;[224223];1.0;1.0;7.0
6.31;0 1 3 5 8 9;[223431];0.0;0.0;3.014
6.32;0 2 4 5 7 9;[143250];1.0;1.0;13.0
6.33;0 2 3 5 7 9;[143241];0.0;0.316;3.108
6.34;0 1 3 5 7 9;[142422];0.0;0.168;3.006
6.35;0 2 4 6 8 10;[060603];0.998;1.0;3.002
6.36;0 1 2 3 4 7;[433221];0.0;0.0;3.018
6.37;0 1 2 3 4 8;[432321];1.0;1.0;3.004
6.38;0 1 2 3 7 8;[421242];1.0;1.0;13.0
6.39;0 2 3 4 5 8;[333321];0.004;0.006;3.098
6.40;0 1 2 3 5 8;[333231];0.0;0.0;3.082
6.41;0 1 2 3 6 8;[332232];0.4;0.494;14.372
6.42;0 1 2 3 6 9;[324222];0.0;0.278;3.01
6.43;0 1 2 5 6 8;[322332];1.0;1.0;3.004
6.44;0 1 2 5 6 9;[313431];0.266;0.408;15.32
6.45;0 2 3 4 6 9;[234222];0.998;0.998;3.002
6.46;0 1 2 4 6 9;[233331];0.746;0.782;12.448
6.47;0 1 2 4 7 9;[233241];0.0;0.0;3.03
6.48;0 1 2 5 7 9;[232341];0.998;0.998;3.002
6.49;0 1 3 4 7 9;[224322];0.998;0.998;3.002
6.50;0 1 4 6 7 9;[224232];0.998;0.998;3.002
7.1;0 1 2 3 4 5 6;[654321];0.0;0.302;3.006
7.2;0 1 2 3 4 5 7;[554331];0.0;0.0;3.028
7.3;0 1 2 3 4 5 8;[544431];0.0;0.0;3.006
7.4;0 1 2 3 4 6 7;[544332];0.0;0.184;3.102
7.5;0 1 2 3 5 6 7;[543342];0.0;0.108;3.02
7.6;0 1 2 3 4 7 8;[533442];0.0;0.486;3.046
7.7;0 1 2 3 6 7 8;[532353];0.0;0.086;3.042
7.8;0 2 3 4 5 6 8;[454422];0.002;0.002;3.008
7.9;0 1 2 3 4 6 8;[453432];0.0;0.084;3.052
7.10;0 1 2 3 4 6 9;[445332];0.0;0.0;3.148
7.11;0 1 3 4 5 6 8;[444441];0.0;0.0;3.086
7.12;0 1 2 3 4 7 9;[444342];0.484;0.484;3.01
7.13;0 1 2 4 5 6 8;[443532];0.32;0.38;14.66
7.14;0 1 2 3 5 7 8;[443352];0.0;0.0;3.034
7.15;0 1 2 4 6 7 8;[442443];0.522;0.998;3.006
7.16;0 1 2 3 5 6 9;[435432];0.0;0.0;3.24
7.17;0 1 2 4 5 6 9;[434541];0.002;0.002;3.014
7.18;0 1 2 3 5 8 9;[434442];0.0;0.0;3.034
7.19;0 1 2 3 6 7 9;[434343];0.478;0.52;13.688
7.20;0 1 2 4 7 8 9;[433452];0.002;0.166;3.022
7.21;0 1 2 4 5 8 9;[424641];0.0;0.116;3.01
7.22;0 1 2 5 6 8 9;[424542];0.998;0.998;3.002
7.23;0 2 3 4 5 7 9;[354351];0.0;0.062;3.028
7.24;0 1 2 3 5 7 9;[353442];0.0;0.286;3.11
7.25;0 2 3 4 6 7 9;[345342];0.0;0.528;3.074
7.26;0 1 3 4 5 7 9;[344532];0.232;0.36;15.832
7.27;0 1 2 4 5 7 9;[344451];0.0;0.154;3.014
7.28;0 1 3 5 6 7 9;[344433];0.894;0.894;10.328
7.29;0 1 2 4 6 7 9;[344352];0.0;0.482;3.062
7.30;0 1 2 4 6 8 9;[343542];0.006;0.006;3.098
7.31;0 1 3 4 6 7 9;[336333];0.072;0.17;16.588
7.32;0 1 3 4 6 8 9;[335442];0.004;0.008;3.752
7.33;0 1 2 4 6 8 10;[262623];0.0;0.114;3.006
7.34;0 1 3 4 6 8 10;[254442];0.002;0.464;3.014
7.35;0 1 3 5 6 8 10;[254361];0.0;0.268;3.03
7.36;0 1 2 3 5 6 8;[444342];0.244;0.314;15.932
7.37;0 1 3 4 5 7 8;[434541];1.0;1.0;7.0
7.38;0 1 2 4 5 7 8;[434442];0.0;0.174;3.062
8.1;0 1 2 3 4 5 6 7;[765442];0.532;0.828;13.916
8.2;0 1 2 3 4 5 6 8;[665542];0.0;0.002;3.082
8.3;0 1 2 3 4 5 6 9;[656542];0.0;0.0;3.032
8.4;0 1 2 3 4 5 7 8;[655552];0.086;0.234;16.6
8.5;0 1 2 3 4 6 7 8;[654553];0.0;0.002;3.348
8.6;0 1 2 3 5 6 7 8;[654463];1.0;1.0;13.0
8.7;0 1 2 3 4 5 8 9;[645652];0.0;0.494;3.022
8.8;0 1 2 3 4 7 8 9;[644563];0.0;1.0;17.0
8.9;0 1 2 3 6 7 8 9;[644464];0.998;1.0;3.002
8.10;0 2 3 4 5 6 7 9;[566452];0.964;0.964;9.708
8.11;0 1 2 3 4 5 7 9;[565552];0.052;0.132;16.728
8.12;0 1 3 4 5 6 7 9;[556543];0.002;0.002;3.308
8.13;0 1 2 3 4 6 7 9;[556453];0.096;0.202;16.478
8.14;0 1 2 4 5 6 7 9;[555562];0.002;0.498;3.05
8.15;0 1 2 3 4 6 8 9;[555553];0.128;0.166;16.332
8.16;0 1 2 3 5 7 8 9;[554563];0.006;0.012;4.148
8.17;0 1 3 4 5 6 8 9;[546652];1.0;1.0;13.0
8.18;0 1 2 3 5 6 8 9;[546553];0.04;0.1;16.748
8.19;0 1 2 4 5 6 8 9;[545752];0.076;0.16;16.456
8.20;0 1 2 4 5 7 8 9;[545662];0.998;1.0;3.002
8.21;0 1 2 3 4 6 8 10;[474643];0.14;0.406;16.364
8.22;0 1 2 3 5 6 8 10;[465562];0.0;0.0;3.614
8.23;0 1 2 3 5 7 8 10;[465472];0.0;0.002;3.036
8.24;0 1 2 4 5 6 8 10;[464743];1.0;1.0;7.0
8.25;0 1 2 4 6 7 8 10;[464644];0.998;1.0;3.002
8.26;0 1 2 4 5 7 9 10;[456562];0.0;0.0;3.044
8.27;0 1 2 4 5 7 8 10;[456553];0.0;0.322;3.09
8.28;0 1 3 4 6 7 9 10;[448444];0.998;1.0;3.002
8.29;0 1 2 3 5 6 7 9;[555553];0.054;0.09;16.696
9.1;0 1 2 3 4 5 6 7 8;[876663];0.002;0.238;3.174
9.2;0 1 2 3 4 5 6 7 9;[777663];0.0;0.004;4.38
9.3;0 1 2 3 4 5 6 8 9;[767763];0.008;0.062;7.726
9.4;0 1 2 3 4 5 7 8 9;[766773];0.052;0.08;16.696
9.5;0 1 2 3 4 6 7 8 9;[766674];0.04;0.062;16.728
9.6;0 1 2 3 4 5 6 8 10;[686763];0.352;0.414;15.436
9.7;0 1 2 3 4 5 7 8 10;[677673];0.0;0.07;4.476
9.8;0 1 2 3 4 6 7 8 10;[676764];0.174;0.184;16.052
9.9;0 1 2 3 5 6 7 8 10;[676683];0.0;0.002;3.036
9.10;0 1 2 3 4 6 7 9 10;[668664];0.0;0.0;3.034
9.11;0 1 2 3 5 6 7 9 10;[667773];0.004;0.102;3.886
9.12;0 1 2 4 5 6 8 9 10;[666963];0.998;0.998;3.002
