pcs;prime forme;closed p;closable p;average size
4.1;0 1 2 3;[321000];0.002;0.53;3.01
4.2;0 1 2 4;[221100];0.286;0.73;15.82
4.3;0 1 3 4;[212100];1.0;1.0;9.0
4.4;0 1 2 5;[211110];0.782;1.0;13.544
4.5;0 1 2 6;[210111];0.442;1.0;14.664
4.6;0 1 2 7;[210021];1.0;1.0;7.0
4.7;0 1 4 5;[201210];1.0;1.0;7.0
4.8;0 1 5 6;[200121];1.0;1.0;13.0
4.9;0 1 6 7;[200022];0.998;1.0;3.002
4.10;0 2 3 5;[122010];1.0;1.0;9.0
4.11;0 1 3 5;[121110];0.194;0.596;16.088
4.12;0 2 3 6;[112101];0.282;0.628;15.176
4.13;0 1 3 6;[112011];0.796;0.876;12.124
4.14;0 2 3 7;[111120];1.0;1.0;7.0
4.15;0 1 4 6;[111111];1.0;1.0;9.0
4.16;0 1 5 7;[110121];0.0;1.0;17.0
4.17;0 3 4 7;[102210];1.0;1.0;7.0
4.18;0 1 4 7;[102111];0.394;0.686;15.2
4.19;0 1 4 8;[101310];0.138;0.412;16.372
4.20;0 1 5 8;[101220];0.998;0.998;3.002
4.21;0 2 4 6;[030201];0.944;0.976;10.18
4.22;0 2 4 7;[021120];0.302;0.758;15.528
4.23;0 2 5 7;[021030];1.0;1.0;13.0
4.24;0 2 4 8;[020301];0.604;0.852;13.8
4.25;0 2 6 8;[020202];0.998;1.0;3.002
4.26;0 3 5 8;[012120];1.0;1.0;13.0
4.27;0 2 5 8;[012111];0.322;0.646;14.956
4.28;0 3 6 9;[004002];0.998;1.0;3.002
4.29;0 1 3 7;[111111];1.0;1.0;9.0
5.1;0 1 2 3 4;[432100];0.0;0.448;3.008
5.2;0 1 2 3 5;[332110];0.0;0.11;3.066
5.3;0 1 2 4 5;[322210];0.002;0.1;3.114
5.4;0 1 2 3 6;[322111];0.508;0.68;3.006
5.5;0 1 2 3 7;[321121];0.5;1.0;3.048
5.6;0 1 2 5 6;[311221];0.188;0.52;16.304
5.7;0 1 2 6 7;[310132];0.0;0.074;3.05
5.8;0 2 3 4 6;[232201];0.484;0.746;3.004
5.9;0 1 2 4 6;[231211];0.0;0.29;3.09
5.10;0 1 3 4 6;[223111];0.0;0.156;3.012
5.11;0 2 3 4 7;[222220];0.0;0.154;3.118
5.12;0 1 3 5 6;[222121];0.556;0.998;3.006
5.13;0 1 2 4 8;[221311];0.0;0.086;3.006
5.14;0 1 2 5 7;[221131];0.0;0.194;3.062
5.15;0 1 2 6 8;[220222];0.0;0.0;3.006
5.16;0 1 3 4 7;[213211];0.0;0.118;3.156
5.17;0 1 3 4 8;[212320];0.474;0.718;3.006
5.18;0 1 4 5 7;[212221];0.5;1.0;3.004
5.19;0 1 3 6 7;[212122];0.514;0.652;3.004
5.20;0 1 3 7 8;[211231];0.0;0.184;3.016
5.21;0 1 4 5 8;[202420];0.128;0.34;16.204
5.22;0 1 4 7 8;[202321];0.514;0.998;3.006
5.23;0 2 3 5 7;[132130];0.002;0.598;3.11
5.24;0 1 3 5 7;[131221];0.0;0.254;3.038
5.25;0 2 3 5 8;[123121];0.0;0.08;3.012
5.26;0 2 4 5 8;[122311];0.524;0.696;3.116
5.27;0 1 3 5 8;[122230];0.0;0.178;3.098
5.28;0 2 3 6 8;[122212];0.498;0.702;3.004
5.29;0 1 3 6 8;[122131];0.0;0.158;3.006
5.30;0 1 4 6 8;[121321];0.0;0.694;3.034
5.31;0 1 3 6 9;[114112];0.0;0.172;3.034
5.32;0 1 4 6 9;[113221];0.138;0.356;16.368
5.33;0 2 4 6 8;[040402];0.328;0.542;15.248
5.34;0 2 4 6 9;[032221];0.486;1.0;3.004
5.35;0 2 4 7 9;[032140];0.0;0.004;3.036
5.36;0 1 2 4 7;[222121];0.49;0.666;3.004
5.37;0 3 4 5 8;[212320];0.512;1.0;3.004
5.38;0 1 2 5 8;[212221];0.482;0.676;13.908
6.1;0 1 2 3 4 5;[543210];0.0;0.336;3.008
6.2;0 1 2 3 4 6;[443211];0.0;0.002;3.112
6.3;0 1 2 3 5 6;[433221];0.134;0.202;16.296
6.4;0 1 2 4 5 6;[432321];1.0;1.0;7.0
6.5;0 1 2 3 6 7;[422232];0.0;0.0;3.062
6.6;0 1 2 5 6 7;[421242];1.0;1.0;13.0
6.7;0 1 2 6 7 8;[420243];0.998;1.0;3.002
6.8;0 2 3 4 5 7;[343230];0.002;0.002;3.008
6.9;0 1 2 3 5 7;[342231];0.498;0.628;14.204
6.10;0 1 3 4 5 7;[333321];0.952;0.992;10.216
6.11;0 1 2 4 5 7;[333231];0.0;0.0;3.042
6.12;0 1 2 4 6 7;[332232];0.314;0.386;15.2
6.13;0 1 3 4 6 7;[324222];1.0;1.0;7.0
6.14;0 1 3 4 5 8;[323430];0.45;0.496;14.632
6.15;0 1 2 4 5 8;[323421];0.004;0.004;3.046
6.16;0 1 4 5 6 8;[322431];1.0;1.0;3.008
6.17;0 1 2 4 7 8;[322332];0.418;0.474;14.184
6.18;0 1 2 5 7 8;[322242];1.0;1.0;3.004
6.19;0 1 3 4 7 8;[313431];0.266;0.368;15.412
6.20;0 1 4 5 8 9;[303630];0.998;1.0;3.002
6.21;0 2 3 4 6 8;[242412];0.0;0.192;3.026
6.22;0 1 2 4 6 8;[241422];0.226;0.378;15.952
6.23;0 2 3 5 6 8;[234222];1.0;1.0;7.0
6.24;0 1 3 4 6 8;[233331];0.002;0.996;3.042
6.25;0 1 3 5 6 8;[233241];0.062;0.234;16.836
6.26;0 1 3 5 7 8;[232341];0.998;1.0;3.002
6.27;0 1 3 4 6 9;[225222];0.242;0.348;15.832
